date,montant,station,nom_banque
2024-03-04,2018500,YASSA,"AFRILAND YDE"
2024-03-03,678700,MFOMAKAP,"AFRILAND YDE"
2024-03-01,7802350,YASSASTADE,"AFRILAND YDE"
2024-03-09,4024700,YASSASTADE,"AFRILAND YDE"
2024-03-05,4427875,YATCHIKA,"AFRILAND YDE"
2024-03-08,771350,NKOABANG,"AFRILAND YDE"
2024-03-04,2024500,ETOA,"AFRILAND YDE"
2024-03-05,4866050,NKOLAFAMBA,"AFRILAND YDE"
2024-03-07,2219900,NKOLNDA,"AFRILAND YDE"
2024-03-04,1992875,NKOZOA,"AFRILAND YDE"
2024-03-09,325000,KRIBIPARC,"AFRILAND YDE"
2024-03-09,3586800,NKWEN,"AFRILAND YDE"
2024-03-06,3148225,11EMEARRET,"AFRILAND YDE"
2024-03-09,2094800,KUMBA,"AFRILAND YDE"
2024-03-06,2805000,ODZA,"AFRILAND YDE"
2024-03-01,240000,MABANDA,"AFRILAND YDE"
2024-03-05,3699250,BIS11EME,"AFRILAND YDE"
2024-03-03,2454950,MEHANDAN,"AFRILAND YDE"
2024-03-01,4744900,YASSA,"AFRILAND YDE"
2024-03-11,1964250,MEHANDAN,"AFRILAND YDE"
2024-03-09,2804000,YASSA,"AFRILAND YDE"
2024-03-07,1634400,MFOMAKAP,"AFRILAND YDE"
2024-03-06,3850175,YASSASTADE,"AFRILAND YDE"
2024-03-03,4707400,YATCHIKA,"AFRILAND YDE"
2024-03-05,981000,NKOABANG,"AFRILAND YDE"
2024-03-11,2753050,YATCHIKA,"AFRILAND YDE"
2024-03-01,3044150,ETOA,"AFRILAND YDE"
2024-03-02,9217900,NKOLAFAMBA,"AFRILAND YDE"
2024-03-09,1386150,ETOA,"AFRILAND YDE"
2024-03-10,9223600,NKOLAFAMBA,"AFRILAND YDE"
2024-03-04,3119425,NKOLNDA,"AFRILAND YDE"
2024-03-01,2370050,NKOZOA,"AFRILAND YDE"
2024-03-09,2411975,NKOZOA,"AFRILAND YDE"
2024-03-06,50000,KRIBIPARC,"AFRILAND YDE"
2024-03-06,2802925,NKWEN,"AFRILAND YDE"
2024-03-03,2616600,11EMEARRET,"AFRILAND YDE"
2024-03-05,1990000,KUMBA,"AFRILAND YDE"
2024-03-03,2982500,ODZA,"AFRILAND YDE"
2024-03-11,3637250,11EMEARRET,"AFRILAND YDE"
2024-03-10,2488000,ODZA,"AFRILAND YDE"
2024-03-07,1659500,MABANDA,"AFRILAND YDE"
2024-03-05,491732,YAKOMBO,"AFRILAND YDE"
2024-03-02,5409600,BIS11EME,"AFRILAND YDE"
2024-03-10,4818150,BIS11EME,"AFRILAND YDE"
2024-03-08,2392350,MEHANDAN,"AFRILAND YDE"
2024-03-06,4089340,YASSA,"AFRILAND YDE"
2024-03-04,1934575,MFOMAKAP,"AFRILAND YDE"
2024-03-03,2781640,YASSASTADE,"AFRILAND YDE"
2024-03-11,2639825,YASSASTADE,"AFRILAND YDE"
2024-03-07,5474400,YATCHIKA,"AFRILAND YDE"
2024-03-10,812600,NKOABANG,"AFRILAND YDE"
2024-03-06,2253850,ETOA,"AFRILAND YDE"
2024-03-07,4126650,NKOLAFAMBA,"AFRILAND YDE"
2024-03-01,2648675,NKOLNDA,"AFRILAND YDE"
2024-03-09,2177800,NKOLNDA,"AFRILAND YDE"
2024-03-06,1753950,NKOZOA,"AFRILAND YDE"
2024-03-02,80000,KRIBIPARC,"AFRILAND YDE"
2024-03-03,2541950,NKWEN,"AFRILAND YDE"
2024-03-01,945500,KUMBA,"AFRILAND YDE"
2024-03-08,3431800,11EMEARRET,"AFRILAND YDE"
2024-03-03,61800,MABANDA,"AFRILAND YDE"
2024-03-07,4403100,BIS11EME,"AFRILAND YDE"
2024-03-05,1938300,MEHANDAN,"AFRILAND YDE"
2024-03-03,1433000,YASSA,"AFRILAND YDE"
2024-03-02,1737400,MFOMAKAP,"AFRILAND YDE"
2024-03-11,1307500,YASSA,"AFRILAND YDE"
2024-03-08,5339900,YASSASTADE,"AFRILAND YDE"
2024-03-04,2496475,YATCHIKA,"AFRILAND YDE"
2024-03-02,719350,NKOABANG,"AFRILAND YDE"
2024-03-07,905750,NKOABANG,"AFRILAND YDE"
